Error Rate,Length,Errors,Precision,Detected Errors
0.1,2,1,-1.5000,4
0.1,4,1,0.0000,3
0.1,8,1,-0.1250,8
0.1,16,6,-0.2500,14
0.1,32,24,-0.9688,39
0.1,64,37,-0.5625,63
0.1,128,80,-0.6250,128
0.1,256,206,-0.8242,261
0.1,512,374,-0.7793,537
0.1,1024,772,-0.7959,1067
0.2,2,3,-2.5000,4
0.2,4,3,-1.2500,6
0.2,8,6,-1.3750,13
0.2,16,14,-1.3750,24
0.2,32,36,-1.5000,44
0.2,64,61,-1.4688,97
0.2,128,126,-1.4297,185
0.2,256,265,-1.5430,386
0.2,512,550,-1.6602,812
0.2,1024,1064,-1.6191,1618
0.3,2,4,-3.0000,4
0.3,4,2,-1.2500,7
0.3,8,12,-2.2500,14
0.3,16,23,-2.1250,27
0.3,32,49,-2.2812,56
0.3,64,83,-2.0469,112
0.3,128,163,-1.9375,213
0.3,256,315,-1.9297,435
0.3,512,656,-2.0078,884
0.3,1024,1314,-1.9863,1744
0.4,2,2,-2.0000,4
0.4,4,5,-1.7500,6
0.4,8,15,-2.5000,13
0.4,16,24,-2.2500,28
0.4,32,42,-1.9375,52
0.4,64,94,-2.2500,114
0.4,128,190,-2.2109,221
0.4,256,374,-2.2266,452
0.4,512,743,-2.1836,887
0.4,1024,1438,-2.1465,1784
0.5,2,3,-1.5000,2
0.5,4,7,-2.0000,5
0.5,8,11,-2.2500,15
0.5,16,25,-2.4375,30
0.5,32,48,-2.2188,55
0.5,64,98,-2.2500,110
0.5,128,188,-2.2422,227
0.5,256,379,-2.2422,451
0.5,512,756,-2.2578,912
0.5,1024,1549,-2.2734,1803
5,8,16,-1.0000,0
5,16,32,-1.0000,0
5,32,64,-1.0000,0
5,64,128,-1.0000,0
5,128,256,-1.0000,0
5,256,512,-1.0000,0
5,512,1024,-1.0000,0
5,1024,2048,-1.0000,0
